Species	N	Heteroneme free length µm	Heteroneme width µm	Heteroneme volume µm3	Heteroneme shaft free length µm	Heteroneme shaft width µm	Heteroneme number	Haploneme free length µm	Haploneme width µm	Desmoneme length µm	Desmoneme width µm	Rhopaloneme length µm	Rhopaloneme width µm	Cnidoband length µm	Cnidoband free length µm	Cnidoband width µm	Haploneme row number	Tentacle width µm	Pedicle width µm	Elastic strand width µm	Involucrum length µm	Cnidoband coiledness	Heteroneme elongation	Haploneme elongation	Desmoneme elongation	Rhopaloneme elongation	Heteroneme shaft extension	Heteroneme/Cnidoband length	Total heteroneme volume µm3	Total haploneme volume µm3	log Total nematocyst volume	Haploneme surface area:volume
Forskalia tholoides	1	43.60	21.80	10849.23	28.30	5.80		40.60	6.30	14.20	8.00	11.00	4.30	601.40	1378.00	101.50	16	106.50	62.50	11.20	0.00	2.29	2.00	6.44	1.78	2.56	1.54	0.03		184550.16	12.13	0.75
Frillagalma vityazi	5	82.00±4.81	24.52±4.28	29789.16±10375.37	60.00±5.31	6.76±1.28	3.20±0.20	46.18±4.07	6.32±0.69					139.72±16.52	183.82±22.29	46.18±11.59	5	61.22±4.46	27.38±6.77	7.76±0.87	121.96±32.11	1.33±0.11	3.73±0.64	7.44±0.40			1.39±0.08	0.47±0.04	93914.35±30682.13	31173.07±7984.35	11.50±0.36	0.79±0.10
Gymnopraia lapislazula	5	87.50±2.19	10.58±0.31	5166.92±381.99	65.52±4.77	3.06±0.35	2.00	27.12±1.61	5.32±0.47	10.12±0.41	6.56±0.53	11.10±0.49	2.80±0.23	182.36±13.93	224.10±10.93	41.92±1.71	7	74.04±13.67	21.18±4.45	14.86±1.78	30.36±12.01	1.25±0.06	8.28±0.17	5.16±0.19	1.58±0.13	4.04±0.28	1.37±0.11	0.39±0.02	10333.83±763.99	17635.09±3015.26	10.20±0.14	0.92±0.08
Halistemma cupulifera	1	43.50	22.50	11530.65	31.30	7.20				30.70	19.80	20.40	5.40	686.40	2496.00	97.20	21		58.50	23.80	37.20	3.64	1.93		1.55	3.78	1.39	0.02			9.35	
Halistemma foliacea	1	83.80	31.10	42438.93	53.50	9.20		63.50	11.90	31.60	17.10	28.10	11.30	3392.90	12904.80	421.70	36		264.20	182.30	487.20	3.80	2.69	5.34	1.85	2.49	1.57	0.01		5105879.81	15.45	0.39
Halistemma rubrum	5	52.32±5.85	16.50±1.86	8468.34±2280.70	33.92±4.25	4.52±0.39	134.00±7.64	43.40±5.22	6.78±0.54	12.16±2.75	6.52±1.16	19.20±5.14	4.78±0.55	1475.66±257.41	5269.90±1280.20	196.46±39.43	23.60±1.94	232.44±65.97	81.24±22.15	50.48±7.72	28.18±23.76	3.45±0.42	3.22±0.22	6.36±0.40	1.84±0.11	3.90±0.71	1.56±0.08	0.01±0.00	1556279.37±116648.17	990123.19±396535.32	13.90±0.62	0.71±0.06
Halistemma transliratum	1	72.80	25.40	24592.26	58.60	8.50		53.30	12.10	19.30	9.10	26.20	10.00	1673.60	7780.40	252.70	24		175.00		261.30	4.65	2.87	4.40	2.12	2.62	1.24	0.01		2627320.94	14.78	0.39
Hippopodius hippopus	5	63.78±2.85	9.44±0.85	3110.91±640.38	46.74±3.18	2.78±0.17	8.40±0.40	25.58±1.98	4.26±0.25	11.14±1.45	6.88±0.82	11.64±1.08	2.48±0.20	106.00±4.42	162.60±15.48	42.86±9.70	7	59.46±13.05	12.44±1.62	7.02±0.71	43.30±10.12	1.55±0.18	6.96±0.64	6.00±0.28	1.61±0.04	4.67±0.10	1.38±0.07	0.41±0.04	26043.91±5154.41	9101.57±814.89	10.42±0.15	1.12±0.06
Kephyes ovata	1	85.10	6.70	2000.22	73.90	2.00	12.00	32.90	4.20	12.60	7.90	12.90	3.20	112.50	121.00	54.50	7	34.60	18.70	8.50	12.30	1.08	12.70	7.83	1.59	4.03	1.15	0.70	24002.70	8754.46	10.40	1.12
Lensia conoidea	5	58.82±5.07	6.46±0.30	1319.60±205.87	43.38±5.02	2.16±0.27	6.80±0.49	23.92±1.51	4.18±0.26	9.54±0.98	5.96±0.87	10.80±0.75	2.54±0.14	148.32±4.33	186.82±11.33	35.12±1.85	6.60±0.40	23.48±4.64	14.10±2.33	8.14±0.64	22.42±4.56	1.26±0.07	9.10±0.61	5.73±0.13	1.64±0.08	4.25±0.19	1.38±0.09	0.31±0.02	9023.12±1749.58	10222.28±2034.21	9.81±0.16	1.15±0.06
