Species,Imaged?,Tentilla,Proximal heteronemes,Desmonemes,Rhopalonemes,Dynamic cnidoband,Elastic strand,Distal cnidoband desmonemes,Coiled tentilla,Heteroneme type,Haploneme type
Nectadamas diomedeae,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Nectadamas richardi,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Nectopyramis thetis,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Physonect sp,1,1,1,0,1,1,1,0,0,Stenotele,Anisorhizas
Parerenna emilyae,1,1,1,0,0,0,0,0,0,Stenotele,Anisorhizas
Physalia physalis,1,1,0,0,0,0,0,0,0,,Isorhizas
Physophora gilmeri,,1,1,0,0,1,1,0,1,Stenotele,Anisorhizas
Physophora hydrostatica,1,1,1,0,0,1,1,0,1,Stenotele,Anisorhizas
Praya dubia,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Praya reticulata,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Prayola urinatrix,,,,,,,,,,Microbasic mastigophore,Anisorhizas
Resomia dunni,1,1,1,1,1,1,1,0,0,Stenotele,Anisorhizas
Resomia ornicephala,1,1,1,1,1,1,1,0,0,Stenotele,Anisorhizas
Resomia persica,1,1,1,1,1,1,1,0,0,Stenotele,Anisorhizas
Rhizophysa eysenhardti,1,1,0,0,0,0,0,0,0,,Isorhizas
Rhizophysa filiformis,1,1,0,0,0,0,0,0,0,,Isorhizas
Rosacea cymbiformis,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Rosacea plicata,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Sphaeronectes christiansonae,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Sphaeronectes haddocki,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Sphaeronectes koellikeri,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Stephanomia amphytridis,1,1,1,1,1,1,1,0,1,Stenotele,Anisorhizas
Stephanophyes superba,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Sulculeolaria biloba,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Sulculeolaria chuni,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Sulculeolaria monoica,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Sulculeolaria quadrivalvis,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Thermopalia taraxaca,1,1,1,1,1,,,,1,,
Vogtia glabra,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Vogtia serrata,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Vogtia spinosa,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
