Slide_ID	Species	Specimen	Accession number	Catalog number
M11	Nanomia cara	BWP 1448-3	YPM.12903	TBD
Y4	Nectadamas richardi	Discovery St. 10111#6	YPM.12903	TBD
I7	Physalia physalis	TX026	YPM.12903	TBD
J7	Physalia physalis	YPM IZ 35011	IZA.07603	YPM IZ 35011
K7	Physalia physalis	Pp20130706WH	YPM.12903	TBD
V2	Physalia physalis	WH 20130706 Corm#3	YPM.12903	TBD
X9	Physalia physalis	YPM IZ 035012	TBD	YPM IZ 035012
Q4	Physonect sp	D666-SS11	YPM.12903	TBD
B2	Physophora hydrostatica	1845 - 5	YPM.12903	TBD
L1	Physophora hydrostatica	ENS43	YPM.12903	TBD
N9	Physophora hydrostatica	D551-D11	YPM.12903	TBD
O9	Physophora hydrostatica	EN543-T1	YPM.12903	TBD
X4	Physophora hydrostatica	EN182 1845-5	YPM.12903	TBD
A1	Praya dubia	JSL I 1003-S8	YPM.12903	TBD
S8	Praya dubia	JSL II 1684-2 (9)	YPM.12903	TBD
T8	Praya dubia	D962-T1	YPM.12903	TBD
D5	Praya reticulata	KOK17_D Trawl022117	YPM.12903	TBD
U5	Resomia dunni	D963-D4	YPM.12903	TBD
R10	Resomia ornicephala	D1025-D10	YPM.12738	TBD
S10	Resomia ornicephala	D1025-SS5	YPM.12738	TBD
S5	Resomia ornicephala	D965-D7	YPM.12903	TBD
T10	Resomia ornicephala	D1025-SS6	YPM.12738	TBD
X1	Resomia persica	D343-D9	YPM.12903	TBD
L4	Rhizophysa eysenhardtii	BWP 862-3	YPM.12903	TBD
Q1	Rhizophysa eysenhardtii	SL0200ST	YPM.12903	TBD
X7	Rhizophysa eysenhardtii	BWP 634-6	YPM.12903	TBD
Y7	Rhizophysa eysenhardtii	BWP 794-3	YPM.12903	TBD
Z7	Rhizophysa eysenhardtii	BWP 814-3	YPM.12903	TBD
A7	Rhizophysa filiformis	BWP 566-16	YPM.12903	TBD
B7	Rhizophysa filiformis	BWP 588-21	YPM.12903	TBD
M9	Rhizophysa filiformis	BWP 567-8	YPM.12903	TBD
R1	Rhizophysa filiformis	BWP 566-17	YPM.12903	TBD
Z6	Rhizophysa filiformis	BWP 1565-4	YPM.12903	TBD
Q6	Rosacea cymbiformis	D723-BW2-2/3	YPM.12903	TBD
R2	Rosacea cymbiformis	BWP 506	YPM.12903	TBD
R6	Rosacea cymbiformis	Voucher#196 BW4	YPM.12903	TBD
V3	Rosacea plicata	WF Trawl 31-07-07	YPM.12903	TBD
K10	Sphaeronectes koellikeri	V4098-SS5	YPM.12903	TBD
K3	Sphaeronectes koellikeri	07-11-13 BW1	YPM.12903	TBD
X8	Sphaeronectes koellikeri	BWP 657-8	YPM.12903	TBD
B3	Stephanomia amphytridis	JSL I 2888-CG6 1/2	YPM.12903	TBD
M8A-B	Stephanomia amphytridis	JSL I 3721-DS1	YPM.12903	TBD
N8	Stephanomia amphytridis	JSL I 2688-CG6	YPM.12903	TBD
O8	Stephanomia amphytridis	D555-D7	YPM.12903	TBD
J11	Stephanomia amphytridis	JSL I 2667-DS8	YPM.12903	TBD
C10	Stephanophyes superba	BWP 571-9	YPM.12903	TBD
Z2	Stephanophyes superba	1345-14	YPM.12903	TBD
P8	Sulculeolaria quadrivalvis	BWP 556-2	YPM.12903	TBD
Q8	Sulculeolaria quadrivalvis	BWP 512 SUQ 16	YPM.12903	TBD
R8	Sulculeolaria quadrivalvis	BWP 1061-17	YPM.12903	TBD
X2	Sulculeolaria quadrivalvis	1349-22	YPM.12903	TBD
H11	Sulculeolaria quadrivalvis	BWP 1051-3	YPM.12903	TBD
A4	Thermopalia taraxaca	Alvin	YPM.12903	TBD
N1	Vogtia glabra	JSL II 959-D3	YPM.12903	TBD
E1	Vogtia serrata	D856-SS3	YPM.12903	TBD
I1	Vogtia serrata	D858-SS10	YPM.12903	TBD
R7	Vogtia serrata	D153-D6	YPM.12903	TBD
S7	Vogtia serrata	10Dec09-Trawl	YPM.12903	TBD
T7	Vogtia serrata	D856-SS9	YPM.12903	TBD
N2	Vogtia spinosa	Discovery St. 6662#2	YPM.12903	TBD
Q11	Marrus claudanielis	T1037-D1	YPM.12903	TBD
R11	Erenna richardi	JSL II 1456-D1	YPM.12903	TBD
S11	Erenna richardi	T751-DS03	YPM.12903	TBD
X11	Resomia ornicephala	T1157-SS10	YPM.12903	TBD
Y11	Resomia ornicephala	T847-SS11	YPM.12903	TBD
A12	Lilyopsis fluoracantha	M122-SS1	YPM.12903	TBD
B12	Physophora gilmeri	KM2018-Trawl1	YPM.12939	TBD
A13	Bathyphysa conifera	JSL I 2657-DS1	YPM.12903	TBD
C13	Erenna richardi	JSL II 1456 DS1	YPM.12903	TBD
D13	Halistemma rubrum	D335-D5	YPM.12903	TBD
V11	Desmophyes haematogaster	T749-SS6	YPM.12903	TBD
U11	Praya dubia	JSL II 1678-DS7	YPM.12903	TBD
T11	Praya dubia	JSL II 990-CGP2	YPM.12903	TBD
N11	Sphaeronectes koellikeri	Manko_VIF18.95	YPM.12938	TBD
O11	Erenna laciniata	V2570-DS2	YPM.12903	TBD
Z11	Sphaeronectes koellikeri	BWP0528005	YPM.12903	TBD
